rank_id,original_id,n_blocks,ranking_metric,rank,metric_value,fitness,params,flops,op_codes,width_codes
ef2b03d9,7f43542a,10,Efficiency1 (Fitness/Params),4,6.959698738091675,1395350.0,200490,83883336,"[7, 7, 14, 15, 15, 6, 7, 6, 2, 14]","[0, 1, 2, 0, 2, 2, 2]"
9853c6ad,54017f19,10,Efficiency1 (Fitness/Params),5,6.815407796247691,2103303.0,308610,111256320,"[6, 12, 15, 7, 15, 14, 6, 6, 4, 7]","[1, 2, 2, 1, 2, 2, 2]"
c63e932a,0af407e6,10,Efficiency2 (Fitness/FLOPs),1,0.02354424597893921,1539973.0,173066,65407616,"[6, 15, 15, 4, 14, 14, 14, 7, 6, 14]","[2, 2, 0, 0, 2, 2, 2]"
ca88e36c,d7bd1c73,10,Efficiency2 (Fitness/FLOPs),2,0.022909045646481725,1928471.0,189738,84179456,"[6, 6, 6, 4, 6, 6, 14, 7, 1, 15]","[2, 2, 2, 0, 2, 2, 2]"
4e5aac23,3ccf9a01,10,Efficiency2 (Fitness/FLOPs),3,0.02205968530504823,1477152.0,251978,66961608,"[6, 6, 6, 7, 12, 5, 14, 6, 7, 13]","[2, 1, 0, 1, 2, 2, 2]"
e9601182,b01a0497,10,Efficiency2 (Fitness/FLOPs),4,0.019106580170087168,2255452.0,463674,118045824,"[7, 7, 7, 6, 6, 7, 12, 15, 15, 0]","[2, 2, 2, 2, 0, 0, 1]"
38895055,54017f19,10,Efficiency2 (Fitness/FLOPs),5,0.01890502040693059,2103303.0,308610,111256320,"[6, 12, 15, 7, 15, 14, 6, 6, 4, 7]","[1, 2, 2, 1, 2, 2, 2]"
48f06ab0,0af407e6,10,Efficiency3 (Fitness/Conv+FC FLOPs),1,0.025409117056640753,1539973.0,173066,65407616,"[6, 15, 15, 4, 14, 14, 14, 7, 6, 14]","[2, 2, 0, 0, 2, 2, 2]"
94a304b9,d7bd1c73,10,Efficiency3 (Fitness/Conv+FC FLOPs),2,0.024529921535633575,1928471.0,189738,84179456,"[6, 6, 6, 4, 6, 6, 14, 7, 1, 15]","[2, 2, 2, 0, 2, 2, 2]"
8a9e8f69,3ccf9a01,10,Efficiency3 (Fitness/Conv+FC FLOPs),3,0.0237054923424214,1477152.0,251978,66961608,"[6, 6, 6, 7, 12, 5, 14, 6, 7, 13]","[2, 1, 0, 1, 2, 2, 2]"
64b47a6e,b01a0497,10,Efficiency3 (Fitness/Conv+FC FLOPs),4,0.020256470425265065,2255452.0,463674,118045824,"[7, 7, 7, 6, 6, 7, 12, 15, 15, 0]","[2, 2, 2, 2, 0, 0, 1]"
b6ed5e37,54017f19,10,Efficiency3 (Fitness/Conv+FC FLOPs),5,0.02006321587604119,2103303.0,308610,111256320,"[6, 12, 15, 7, 15, 14, 6, 6, 4, 7]","[1, 2, 2, 1, 2, 2, 2]"
7ebfeb77,3be0e15b,15,Fitness,1,2899902.0,2899902.0,1715738,232426880,"[6, 6, 15, 6, 6, 15, 3, 6, 7, 12, 6, 7, 7, 7, 7]","[2, 2, 1, 2, 2, 2, 0]"
e7471759,ea415c18,15,Fitness,2,2876880.0,2876880.0,1260250,232668160,"[15, 7, 6, 6, 6, 7, 7, 4, 15, 14, 6, 6, 7, 7, 3]","[2, 2, 2, 2, 2, 0, 0]"
4da459ed,d883e830,15,Fitness,3,2835270.0,2835270.0,1195858,251922320,"[6, 15, 15, 7, 15, 14, 7, 13, 14, 14, 7, 14, 14, 6, 5]","[2, 1, 2, 2, 2, 2, 2]"
94d9f758,41df861c,15,Fitness,4,2808411.0,2808411.0,1287578,235313664,"[15, 5, 14, 14, 7, 7, 15, 6, 15, 7, 6, 7, 3, 14, 12]","[2, 2, 2, 2, 2, 2, 2]"
8a67b78e,24114528,15,Fitness,5,2715505.0,2715505.0,1430754,236013568,"[4, 16, 14, 14, 7, 7, 15, 6, 15, 15, 13, 15, 7, 6, 6]","[0, 1, 2, 2, 2, 0, 0]"
2aa8dba4,9b3a8f49,15,Efficiency1 (Fitness/Params),1,4.3787263692056895,1665361.0,380330,87324800,"[6, 15, 15, 4, 14, 14, 14, 7, 6, 14, 12, 14, 7, 3, 11]","[2, 2, 0, 0, 0, 0, 2]"
7fe9be54,9dc4bc93,15,Efficiency1 (Fitness/Params),2,3.5945212522058108,2586941.0,719690,164105856,"[14, 15, 6, 14, 6, 7, 13, 5, 13, 10, 14, 15, 6, 16, 12]","[2, 2, 2, 2, 1, 0, 2]"
73dba1ba,b31d8e40,15,Efficiency1 (Fitness/Params),3,3.5156641151723917,2435181.0,692666,157374208,"[7, 3, 14, 15, 15, 7, 15, 14, 5, 12, 15, 0, 4, 0, 14]","[0, 2, 2, 2, 1, 0, 1]"
c2846806,1280608e,15,Efficiency1 (Fitness/Params),4,3.4534945184902033,2312826.0,669706,151936256,"[5, 4, 13, 6, 15, 7, 4, 14, 2, 4, 15, 4, 11, 13, 11]","[2, 2, 2, 2, 1, 0, 1]"
d07cb11d,a70e2c4f,15,Efficiency1 (Fitness/Params),5,3.3651900029269077,2598418.0,772146,175051392,"[15, 6, 5, 7, 15, 7, 15, 15, 10, 6, 16, 14, 6, 6, 0]","[2, 2, 2, 2, 1, 2, 1]"
1a29ea12,9b3a8f49,15,Efficiency2 (Fitness/FLOPs),1,0.019070882498442597,1665361.0,380330,87324800,"[6, 15, 15, 4, 14, 14, 14, 7, 6, 14, 12, 14, 7, 3, 11]","[2, 2, 0, 0, 0, 0, 2]"
fd3163a4,0810e8fa,15,Efficiency2 (Fitness/FLOPs),2,0.015794646858340845,1948927.0,640250,123391616,"[6, 15, 4, 7, 12, 14, 14, 15, 14, 7, 14, 12, 5, 5, 6]","[2, 2, 1, 1, 0, 2, 2]"
90078e63,9dc4bc93,15,Efficiency2 (Fitness/FLOPs),3,0.015763855495808755,2586941.0,719690,164105856,"[14, 15, 6, 14, 6, 7, 13, 5, 13, 10, 14, 15, 6, 16, 12]","[2, 2, 2, 2, 1, 0, 2]"
fe144e7b,b31d8e40,15,Efficiency2 (Fitness/FLOPs),4,0.015473825291625932,2435181.0,692666,157374208,"[7, 3, 14, 15, 15, 7, 15, 14, 5, 12, 15, 0, 4, 0, 14]","[0, 2, 2, 2, 1, 0, 1]"
f1effe47,1280608e,15,Efficiency2 (Fitness/FLOPs),5,0.01522234429680826,2312826.0,669706,151936256,"[5, 4, 13, 6, 15, 7, 4, 14, 2, 4, 15, 4, 11, 13, 11]","[2, 2, 2, 2, 1, 0, 1]"
4301beaa,9b3a8f49,15,Efficiency3 (Fitness/Conv+FC FLOPs),1,0.020304209387704143,1665361.0,380330,87324800,"[6, 15, 15, 4, 14, 14, 14, 7, 6, 14, 12, 14, 7, 3, 11]","[2, 2, 0, 0, 0, 0, 2]"
f4797c17,0810e8fa,15,Efficiency3 (Fitness/Conv+FC FLOPs),2,0.016643247968235055,1948927.0,640250,123391616,"[6, 15, 4, 7, 12, 14, 14, 15, 14, 7, 14, 12, 5, 5, 6]","[2, 2, 1, 1, 0, 2, 2]"
07308d32,9dc4bc93,15,Efficiency3 (Fitness/Conv+FC FLOPs),3,0.016504316714126006,2586941.0,719690,164105856,"[14, 15, 6, 14, 6, 7, 13, 5, 13, 10, 14, 15, 6, 16, 12]","[2, 2, 2, 2, 1, 0, 2]"
5ff11506,b31d8e40,15,Efficiency3 (Fitness/Conv+FC FLOPs),4,0.016232614595474114,2435181.0,692666,157374208,"[7, 3, 14, 15, 15, 7, 15, 14, 5, 12, 15, 0, 4, 0, 14]","[0, 2, 2, 2, 1, 0, 1]"
09a88006,1280608e,15,Efficiency3 (Fitness/Conv+FC FLOPs),5,0.015961718917013687,2312826.0,669706,151936256,"[5, 4, 13, 6, 15, 7, 4, 14, 2, 4, 15, 4, 11, 13, 11]","[2, 2, 2, 2, 1, 0, 1]"
697547be,12d03d29,20,Fitness,1,3133023.0,3133023.0,5449034,354935808,"[15, 14, 14, 5, 5, 7, 15, 13, 15, 2, 12, 14, 7, 7, 15, 15, 15, 7, 7, 5]","[2, 2, 2, 2, 2, 2, 2]"
08fb242c,0a5cb5cc,20,Fitness,2,3061137.0,3061137.0,2885338,311219328,"[15, 3, 7, 6, 14, 7, 6, 4, 9, 15, 15, 15, 7, 15, 7, 4, 11, 14, 8, 14]","[2, 2, 2, 2, 2, 2, 0]"
3cb82bf9,663aba98,20,Fitness,3,3061137.0,3061137.0,2885338,311219328,"[15, 3, 7, 6, 14, 7, 6, 4, 9, 15, 15, 15, 7, 15, 7, 4, 11, 14, 8, 14]","[2, 2, 2, 2, 2, 2, 0]"
e33dbab9,c5ea16e6,20,Fitness,4,2959359.0,2959359.0,3749722,348983424,"[1, 2, 6, 14, 7, 7, 8, 4, 13, 4, 15, 14, 6, 7, 15, 15, 12, 14, 6, 14]","[1, 2, 2, 2, 2, 2, 2]"
