epochs,lr,mixup,label_smoothing,cutout,top1,log_file
90,0.2,-1.0,0.0,False,95.1,ft_e90_lr0.2_mix-1_ls0_cutoff.log
90,0.1,0.2,0.1,True,95.72,ft_e90_lr0.1_mix0.2_ls0.1_cuton.log
90,0.1,0.2,0.1,False,95.33,ft_e90_lr0.1_mix0.2_ls0.1_cutoff.log
90,0.1,0.2,0.0,True,95.65,ft_e90_lr0.1_mix0.2_ls0_cuton.log
90,0.1,0.2,0.0,False,94.88,ft_e90_lr0.1_mix0.2_ls0_cutoff.log
90,0.1,-1.0,0.1,True,95.93,ft_e90_lr0.1_mix-1_ls0.1_cuton.log
90,0.1,-1.0,0.1,False,94.48,ft_e90_lr0.1_mix-1_ls0.1_cutoff.log
90,0.1,-1.0,0.0,True,95.53,ft_e90_lr0.1_mix-1_ls0_cuton.log
90,0.1,-1.0,0.0,False,95.22,ft_e90_lr0.1_mix-1_ls0_cutoff.log
90,0.05,0.2,0.1,True,94.63,ft_e90_lr0.05_mix0.2_ls0.1_cuton.log
90,0.05,0.2,0.1,False,93.97,ft_e90_lr0.05_mix0.2_ls0.1_cutoff.log
90,0.05,0.2,0.0,True,94.67,ft_e90_lr0.05_mix0.2_ls0_cuton.log
90,0.05,0.2,0.0,False,94.1,ft_e90_lr0.05_mix0.2_ls0_cutoff.log
90,0.05,-1.0,0.1,True,94.59,ft_e90_lr0.05_mix-1_ls0.1_cuton.log
90,0.05,-1.0,0.1,False,93.77,ft_e90_lr0.05_mix-1_ls0.1_cutoff.log
90,0.05,-1.0,0.0,True,95.08,ft_e90_lr0.05_mix-1_ls0_cuton.log
90,0.05,-1.0,0.0,False,93.94,ft_e90_lr0.05_mix-1_ls0_cutoff.log
120,0.2,0.2,0.1,True,95.79,ft_e120_lr0.2_mix0.2_ls0.1_cuton.log
120,0.2,0.2,0.1,False,95.58,ft_e120_lr0.2_mix0.2_ls0.1_cutoff.log
120,0.2,0.2,0.0,True,96.16,ft_e120_lr0.2_mix0.2_ls0_cuton.log
120,0.2,0.2,0.0,False,95.58,ft_e120_lr0.2_mix0.2_ls0_cutoff.log
120,0.2,-1.0,0.1,True,96.04,ft_e120_lr0.2_mix-1_ls0.1_cuton.log
